aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
lmcs06abp4p1.aig_6,39,54,0,615,998,459,1183.68736886978,6,26.37,6.02,5.99990372180939,990.66,0.992645290581162
lmcs06abp4p1.aig_7,39,54,0,615,998,459,1183.68736886978,7,26.63,7.02,6.84889269113541,996.03,0.998026052104208
lmcs06abp4p1.aig_8,39,54,0,615,998,459,1183.68736886978,8,27.18,8.02,7.71431641817093,996.05,0.998046092184369
lmcs06abp4p1.aig_9,39,54,0,615,998,459,1183.68736886978,9,27.97,9.01,9.28057878255844,996.1,0.998096192384769
lmcs06abp4p1.aig_10,39,54,0,615,998,459,1183.68736886978,10,27.34,10,9.88287761449814,996.07,0.998066132264529
lmcs06abp4p1.aig_11,39,54,0,615,998,459,1183.68736886978,11,26.08,11.01,10.2631780409813,996.01,0.998006012024048
lmcs06abp4p1.aig_12,39,54,0,615,998,459,1183.68736886978,12,26.32,12.01,11.0180769968033,996.04,0.998036072144289
lmcs06abp4p1.aig_13,39,54,0,615,998,459,1183.68736886978,13,27.81,13.01,12.9172245264053,996.08,0.998076152304609
lmcs06abp4p1.aig_14,39,54,0,615,998,459,1183.68736886978,14,26.55,14.06,12.9301555705071,996.02,0.998016032064128
lmcs06abp4p1.aig_15,39,54,0,615,998,459,1183.68736886978,15,27.73,15.03,14.7451430678368,996.07,0.998066132264529
lmcs06abp4p1.aig_16,39,54,0,615,998,459,1183.68736886978,16,27.42,16.03,15.9096724557877,996.08,0.998076152304609
lmcs06abp4p1.aig_17,39,54,0,615,998,459,1183.68736886978,17,27.18,17.01,16.2956954956055,996.05,0.998046092184369
lmcs06abp4p1.aig_18,39,54,0,615,998,459,1183.68736886978,18,29.07,18.03,16.6376642370224,996.14,0.99813627254509
lmcs06abp4p1.aig_19,39,54,0,615,998,459,1183.68736886978,19,26.55,19.02,18.4371088552475,996.02,0.998016032064128
lmcs06abp4p1.aig_20,39,54,0,615,998,459,1183.68736886978,20,27.18,20.03,19.3524115681648,996.05,0.998046092184369
lmcs06abp4p1.aig_21,39,54,0,615,998,459,1183.68736886978,21,27.34,21.04,19.8860237979889,996.07,0.998066132264529
lmcs06abp4p1.aig_22,39,54,0,615,998,459,1183.68736886978,22,27.65,22.02,21.2477917361259,996.06,0.998056112224449
lmcs06abp4p1.aig_23,39,54,0,615,998,459,1183.68736886978,23,27.97,23.04,21.971503098011,996.1,0.998096192384769
lmcs06abp4p1.aig_24,39,54,0,615,998,459,1183.68736886978,24,29.38,24.06,22.9085361766815,996.13,0.99812625250501
lmcs06abp4p1.aig_25,39,54,0,615,998,459,1183.68736886978,25,27.97,25.02,23.4698751497269,996.1,0.998096192384769
lmcs06abp4p1.aig_26,39,54,0,615,998,459,1183.68736886978,26,28.28,26.03,24.4706350135803,996.09,0.998086172344689
lmcs06abp4p1.aig_27,39,54,0,615,998,459,1183.68736886978,27,29.62,27.05,25.2551137542725,996.16,0.99815631262525
lmcs06abp4p1.aig_28,39,54,0,615,998,459,1183.68736886978,28,29.7,28.07,27.0285738158226,996.17,0.998166332665331
lmcs06abp4p1.aig_29,39,54,0,615,998,459,1183.68736886978,29,27.34,29.07,26.5356575775146,996.07,0.998066132264529
lmcs06abp4p1.aig_30,39,54,0,615,998,459,1183.68736886978,30,27.42,30.03,27.8819615483284,996.08,0.998076152304609
lmcs06abp4p1.aig_31,39,54,0,615,998,459,1183.68736886978,31,30.01,31.09,30.224117026329,996.16,0.99815631262525
lmcs06abp4p1.aig_32,39,54,0,615,998,459,1183.68736886978,32,27.81,32.05,29.7008256292343,996.08,0.998076152304609
lmcs06abp4p1.aig_33,39,54,0,615,998,459,1183.68736886978,33,29.54,33.09,31.349206764698,996.15,0.99814629258517
lmcs06abp4p1.aig_34,39,54,0,615,998,459,1183.68736886978,34,29.54,34.09,32.4752105236053,996.15,0.99814629258517
lmcs06abp4p1.aig_35,39,54,0,615,998,459,1183.68736886978,35,29.23,35.06,33.3547472023964,996.16,0.99815631262525
lmcs06abp4p1.aig_36,39,54,0,615,998,459,1183.68736886978,36,28.68,36.09,33.656918797493,996.14,0.99813627254509
lmcs06abp4p1.aig_37,39,54,0,615,998,459,1183.68736886978,37,27.34,37.06,34.7725845074654,996.07,0.998066132264529
lmcs06abp4p1.aig_38,39,54,0,615,998,459,1183.68736886978,38,28.83,38.09,35.298280684948,996.11,0.99810621242485
lmcs06abp4p1.aig_39,39,54,0,615,998,459,1183.68736886978,39,27.97,39.08,37.3118938851357,996.1,0.998096192384769
lmcs06abp4p1.aig_40,39,54,0,615,998,459,1183.68736886978,40,28.6,40.09,37.7571029162407,996.13,0.99812625250501
lmcs06abp4p1.aig_41,39,54,0,615,998,459,1183.68736886978,41,28.05,41.04,38.8993425440788,996.11,0.99810621242485
lmcs06abp4p1.aig_42,39,54,0,615,998,459,1183.68736886978,42,28.52,42.03,39.5490646529198,996.12,0.99811623246493
lmcs06abp4p1.aig_43,39,54,0,615,998,459,1183.68736886978,43,29.46,43.03,40.0601816105843,996.14,0.99813627254509
lmcs06abp4p1.aig_44,39,54,0,615,998,459,1183.68736886978,44,26.79,44.13,41.2003473711014,996.05,0.998046092184369
lmcs06abp4p1.aig_45,39,54,0,615,998,459,1183.68736886978,45,31.04,45.06,42.7501040196419,996.24,0.998236472945892
lmcs06abp4p1.aig_46,39,54,0,615,998,459,1183.68736886978,46,29.54,46.08,43.2256523060799,996.15,0.99814629258517
lmcs06abp4p1.aig_47,39,54,0,615,998,459,1183.68736886978,47,28.05,47.13,43.3762404417992,996.11,0.99810621242485
lmcs06abp4p1.aig_48,39,54,0,615,998,459,1183.68736886978,48,27.66,48.05,44.4804108333588,996.11,0.99810621242485
lmcs06abp4p1.aig_49,39,54,0,615,998,459,1183.68736886978,49,29.62,49.05,45.5320813083649,996.16,0.99815631262525
cucnt3.aig_0,0,3,1,19,1000,1000,17.5229370594025,0,0,0,0,1000,1
cucnt3.aig_1,0,3,1,19,1000,1000,17.5229370594025,1,0,1,0.017394216060639,1000,1
cucnt3.aig_2,0,3,1,19,1000,1000,17.5229370594025,2,0,2,0.034881572723389,1000,1
cucnt3.aig_3,0,3,1,19,1000,1000,17.5229370594025,3,0,3,0.052305598258972,1000,1
cucnt3.aig_4,0,3,1,19,1000,1000,17.5229370594025,4,0,4,0.069637441635132,1000,1
cucnt3.aig_5,0,3,1,19,1000,1000,17.5229370594025,5,0,5,0.087072534561157,1000,1
cucnt3.aig_6,0,3,1,19,1000,1000,17.5229370594025,6,0,6,0.104440870285034,1000,1
cucnt3.aig_7,0,3,1,19,1000,1000,17.5229370594025,7,0,7,0.121853892803192,1000,1
cucnt3.aig_8,0,3,1,19,1000,1000,17.5229370594025,8,0,8,0.139416770935059,1000,1
cucnt3.aig_9,0,3,1,19,1000,1000,17.5229370594025,9,0,9,0.156602771282196,1000,1
