aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
pdtvishuffman3.aig,5,56,1,975,811,153,0.18865598027127,0,0.1186363697052,31,0.038224414303329,0,0.23005485534668,Init4,false,0,5.707878,1,811,1
rast-p11.aig,2840,2602,0,53736,552,552,1,0,6.38567447662354,552,1,0,10.2556273937225,Init2,false,2,8.915005,2,552,1
pdtvisvsa16a19.aig,32,236,1,6246,499,499,1,0,0.519348621368408,499,1,0,0.680405139923096,Init2,false,2,0.623716,1,499,1
6s277rb292.aig,844,3201,1,25549,34,0,0,0,4.98143291473389,0,0,0,160.908269882202,Init2,false,2,7.645603,9,0,0
pdtvissfeistel.aig,68,361,1,9253,480,155,0.322916666666667,0,192.888724565506,0,0,1,1200.01426720619,Init2,false,16,47.299988,15,330,0.6875
pdtswvsam6x8p3.aig,9,128,1,8257,122,0,0,0,30.6497452259064,0,0,1,1200.01444792748,Init2,false,2,43.542912,44,0,0
pdtvisheap06.aig,4,33,1,1149,925,925,1,0,0.169937610626221,925,1,0,0.17862343788147,Init2,false,2,0.170606,1,925,1
6s276rb318.aig,843,3201,1,25549,33,0,0,0,6.23360276222229,0,0,0,143.969769716263,Init2,false,2,8.195873,9,0,0
bobsynth09neg.aig,224,3015,1,15384,379,0,0,0,1.77187705039978,0,0,0,35.8739655017853,Init2,false,4,1.878821,5,1,0.002638522427441
bobtuint20neg.aig,213,212,1,2051,762,402,0.52755905511811,0,0.269007682800293,0,0,0,0.780644178390503,Init2,false,4,0.324333,2,658,0.863517060367454
pdtvishuffman6.aig,5,56,1,966,44,1,0.022727272727273,0,0.069689512252808,0,0,0,3.84098815917969,Init2,false,4,0.174648,11,1,0.022727272727273
power2sum256.aig,12,30,1,216,1000,869,0.869,0,1.52219319343567,494,0.494,0,0.981590509414673,Init4,false,0,17.193608,1,1000,1
pdtvisblackjack0.aig,5,104,1,3463,343,0,0,0,1.22157907485962,0,0,0,1.33261632919312,Init2,false,4,18.021745,23,0,0
oski15a14b16s.aig,1071,3519,1,42797,1000,1000,1,0,8.09005212783814,1000,1,0,18.3795840740204,Init2,false,2,9.902475,1,1000,1
139453p0.aig,299,395,1,8768,1000,117,0.117,0,0.720178604125977,487,0.487,0,2.68578934669495,Init2,false,32,5.787865,1,487,0.487
pdtvisvsa16a06.aig,32,236,1,6312,998,590,0.591182364729459,0,1.57241106033325,993,0.99498997995992,0,1.48237657546997,Init4,false,0,4.055109,1,998,1
pdtvisgray1.aig,5,5,1,9,489,238,0.486707566462168,0,0.012111186981201,489,1,0,0.078867197036743,Init2,false,2,0.015599,1,489,1
pdtvisvsa16a18.aig,32,236,1,6277,926,584,0.630669546436285,0,4.67996835708618,913,0.985961123110151,0,1.53303194046021,Init4,false,0,4.102985,1,926,1
pdtvisgigamax2.aig,22,16,1,1069,884,493,0.557692307692308,0,0.168384313583374,39,0.044117647058824,0,0.279555082321167,Init4,false,0,3.150571,1,884,1
pdtvisvsar25.aig,17,130,1,2101,502,502,1,0,0.218214750289917,502,1,0,0.329600095748901,Init2,false,2,0.222093,1,502,1
pdtvisrethersqo0.aig,3,48,1,794,1000,1000,1,0,0.11856484413147,1000,1,0,0.178719043731689,Init2,false,2,0.122327,1,1000,1
bj08aut5.aig,3,3,1,380,415,144,0.346987951807229,0,0.020431041717529,283,0.681927710843373,0,0.07852840423584,Init4,false,0,0.094597,1,415,1
pdtvisvsar23.aig,17,130,1,2101,527,527,1,0,0.218173265457153,527,1,0,0.329694747924805,Init2,false,2,0.222384,1,527,1
